Date,Waste_Polythene_kg,Textiles_Waste_kg,Paper_Waste_kg,Plastic_Scrap_kg,Dahi_Cups_kg,Plastic_Sutli_kg,Cover_Shoe_Clear_Plastic_kg,Empty_Paper_Bags_kg,Waste_Empty_Carton_kg,Empty_Plastic_Cans_Count,Empty_Plastic_Cans_Size,Total_Waste_kg,Plant_Status,Remarks
01-08-2025,66,5,59,2,5,1,3,21,212,1,25L,374,Running,
02-08-2025,63,2,65,1,2,1,3,29,85,2,5L,251,Running,
03-08-2025,0,0,0,0,0,0,0,0,0,0,,0,Closed,Sunday
04-08-2025,53,2,49,2,3,2,4,21,268,3,5L,404,Running,
05-08-2025,44,2,65,2,3,2,3,29,224,2,25L,374,Running,
06-08-2025,55,2,64,2,7,1,3,21,185,3,5L,340,Running,
07-08-2025,31,2,42,1,2,3,4,11,56,2,5L,152,Running,
08-08-2025,44,1,49,2,17,1,3,19,65,2,5L,201,Running,
09-08-2025,39,2,39,2,2,2,4,16,75,2,5L,181,Running,
10-08-2025,0,0,0,0,0,0,0,0,0,0,,0,Closed,Sunday
11-08-2025,64,2,59,2,6,1,3,17,85,2,5L,239,Running,
12-08-2025,54,2,49,2,7,1,2,29,84,2,5L,230,Running,
13-08-2025,42,1,59,2,7,2,3,19,85,5,5L,220,Running,
14-08-2025,75,2,29,1,10,1,2,24,75,2,5L,219,Running,
15-08-2025,0,0,0,0,0,0,0,0,0,0,,0,Closed,Holiday
16-08-2025,31,2,46,2,12,2,4,21,80,4,5L,200,Running,
17-08-2025,0,0,0,0,0,0,0,0,0,0,,0,Closed,Sunday
18-08-2025,53,2,64,2,7,2,4,26,85,4,5L,245,Running,
19-08-2025,53,2,56,2,7,2,3,19,124,1,5L,268,Running,
20-08-2025,49,2,53,2,6,2,4,21,139,3,25L,278,Running,
21-08-2025,49,3,54,2,1,1,3,42,162,2,25L,317,Running,
22-08-2025,21,2,36,2,8,2,3,11,82,2,5L,167,Running,
23-08-2025,49,2,42,2,7,1,4,25,65,2,5L,197,Running,
24-08-2025,0,0,0,0,0,0,0,0,0,0,,0,Closed,Sunday
25-08-2025,30,2,36,2,8,4,2,21,45,2,5L,150,Running,
26-08-2025,72,2,53,3,5,2,4,21,85,3,5L,247,Running,
27-08-2025,61,2,58,2,6,1,3,24,76,2,5L,233,Running,
28-08-2025,64,2,67,4,4,2,5,19,84,2,5L,251,Running,
29-08-2025,52,2,59,3,9,2,5,24,92,6,25L,248,Running,
30-08-2025,64,2,54,3,6,2,5,23,85,2,5L,244,Running,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
